INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CITY,STATE,POSTAL_CODE,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,AGENT_NAME,DATE_OF_JOINING,AGENT_CITY,AGENT_STATE,AGENT_POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE,VENDOR_POSTAL_CODE,TRANSACTION_DAY,TRANSACTION_MONTH,TRANSACTION_YEAR,POLICY_EFF_DAY,POLICY_EFF_MONTH,POLICY_EFF_YEAR,LOSS_DAY,LOSS_MONTH,LOSS_YEAR,REPORT_DAY,REPORT_MONTH,REPORT_YEAR
Health,131.52,20000,Washington,DC,20001,Y,62,113,Y,7,L,Mortgage,MI,High School,A,Minor Loss,Ambulance,0,1,MA,Gardner,13,AGENT00464,VNDR00039,Dana Ewing,2011-05-05,Thunderbolt,GA,31404,119726466,CSNM77966094608659,Thomas and Sons,Beverly Hills,FL,34465,9,1,2021,15,7,2018,5,1,2021,6,1,2021
Health,191.89,1000,Fayetteville,AR,72703,Y,50,42,Y,2,M,Rent,HI,High School,A,Total Loss,Ambulance,1,0,MA,Medford,12,AGENT00984,VNDR00295,Roger Mccollum,2012-03-09,Edmond,OK,73034,88094915,WXFT76296314851059,Cox-Ward,Savannah,GA,31405,9,1,2021,2,10,2019,20,12,2020,25,12,2020
Life,56.2,28000,Fayetteville,AR,72703,Y,42,98,Y,2,L,Mortgage,LI,Bachelor,A,Total Loss,Ambulance,0,1,VT,Thetford,1,AGENT00048,VNDR00167,Olivia Cramer,2008-03-27,Manchester,CT,6040,128661059,WMWV30338113870706,Diaz Group,Arvada,CO,80002,9,1,2021,29,4,2019,22,12,2020,27,12,2020
Property,114.82,34000,Fayetteville,AR,72701,Y,44,45,Y,2,M,Rent,MI,Bachelor,A,Total Loss,Police,1,1,CO,Arvada,18,AGENT01028,VNDR00545,Andrea Castilla,2013-03-17,Montgomery,AL,36109,25411072,YJXS04901758045402,Myers-Brown,Hanover,MD,21076,9,1,2021,14,12,2013,1,1,2021,4,1,2021
Travel,80.3,1000,Rancho Cordova,CA,95670,Y,48,77,Y,2,M,Own,MI,Bachelor,A,Major Loss,Ambulance,0,1,TN,Nashville,8,AGENT00015,VNDR00180,Charles George,1998-01-31,Noble,OK,73068,112506777,PEUK68232037630713,Cole Group,Jackson,CA,95642,9,1,2021,2,11,2010,5,1,2021,6,1,2021
Travel,91.23,5000,Severna Park,MD,21146,Y,27,51,Y,5,M,Mortgage,LI,College,A,Minor Loss,Police,1,1,FL,Panama City,1,AGENT00654,VNDR00453,Dominique Touhey,2015-10-28,Severn,MD,21144,19428819,CIZQ08140146021893,Burton PLC,Boulder,CO,80302,9,1,2021,13,6,2015,6,1,2021,6,1,2021
Life,92.68,63000,Nashville,TN,37209,Y,39,64,Y,2,L,Mortgage,LI,MD,A,Major Loss,Ambulance,1,1,AZ,Glendale,11,AGENT00486,VNDR00283,Ray Higdon,2006-12-13,Oklahoma City,OK,73103,43339071,DHIW17515685743180,"Sosa, Pugh and Hughes",Fayetteville,AR,72701,9,1,2021,21,1,2018,21,12,2020,26,12,2020
Life,92.96,15000,Livermore,CA,94550,Y,27,108,Y,3,M,Rent,HI,High School,A,Major Loss,Ambulance,1,1,CA,Berkeley,20,AGENT00349,VNDR00456,Ralph Peyser,1999-11-08,Hayward,CA,94545,110446282,BNPC16175693569448,"Reyes, Joseph and Gutierrez",Lawrence,MA,1841,9,1,2021,23,9,2012,22,12,2020,27,12,2020
Mobile,9.2,400,Louisville,KY,40245,N,54,89,Y,5,M,Mortgage,MI,PhD,A,Total Loss,Other,1,1,FL,Panama City,13,AGENT01090,VNDR00293,David Pastrano,1999-10-21,Aurora,CO,80016,45150876,VSWF12872946962625,Brown Ltd,Cambridge,MA,2139,9,1,2021,6,5,2015,22,12,2020,27,12,2020
Travel,93.67,3000,Berkeley,CA,94710,Y,62,62,Y,5,M,Own,HI,Masters,A,Major Loss,Ambulance,1,1,AK,Anchorage,16,AGENT01029,VNDR00262,Scott Beadle,2005-06-24,Barnstable,MA,2635,73202110,EQSV75087122315651,Lee PLC,Fayetteville,AR,72703,9,1,2021,9,4,2014,22,12,2020,27,12,2020
Life,55.95,98000,Hayward,CA,94541,Y,58,25,Y,2,M,Rent,LI,Bachelor,A,Major Loss,Ambulance,1,1,KY,Louisville,10,AGENT00367,VNDR00523,Nancy Marbley,1992-12-19,Montgomery,AL,36104,12865440,LIZA69382527886640,Baker Ltd,Nashville,TN,37216,9,1,2021,6,3,2011,28,12,2020,2,1,2021
Property,122.18,27000,Arvada,CO,80403,Y,43,51,N,5,L,Mortgage,LI,High School,A,Total Loss,Ambulance,1,1,MA,Gardner,13,AGENT00633,VNDR00318,Clarence Mcclendon,2016-09-18,West Brattleboro,VT,5301,115081053,BQGO93011033024305,"Martinez, Mccoy and Herring",Annapolis,MD,21401,9,1,2021,14,3,2013,29,12,2020,3,1,2021
Life,68.28,63000,Fayetteville,AR,72704,Y,59,88,Y,5,M,Own,LI,Bachelor,A,Minor Loss,Ambulance,1,1,CO,Arvada,10,AGENT00630,VNDR00365,Myrtle Mackie,2014-04-20,Middleton,MA,1949,66017529,KCVN88530832059160,Jones-Monroe,Burke,VT,5871,9,1,2021,27,9,2010,8,1,2021,8,1,2021
Health,169.27,1000,Nashville,TN,37207,N,37,80,Y,4,M,Own,MI,PhD,A,Minor Loss,Ambulance,1,0,CA,Oakland,2,AGENT00041,VNDR00432,John Tallman,2006-04-22,Del City,OK,73115,38768204,YCPM81152663783872,"Cohen, Johnson and Silva",Panama City,FL,32401,9,1,2021,9,11,2011,5,1,2021,6,1,2021
Property,156.01,25000,Fort Collins,CO,80525,N,26,109,Y,5,M,Own,HI,Bachelor,A,Minor Loss,Ambulance,0,1,CO,Arvada,22,AGENT00038,VNDR00364,Harold Ward,1993-01-24,Pooler,GA,31322,114283917,XFPA46888061021143,Medina-Wilkinson,Baldwin Park,CA,91706,9,1,2021,9,11,2010,4,1,2021,5,1,2021
Health,184.78,4000,Rutland,VT,5701,Y,38,100,Y,7,H,Own,MI,PhD,A,Major Loss,Ambulance,1,0,DC,Washington,2,AGENT01106,VNDR00433,Isaac Willard,1999-10-01,Panama City Beach,FL,32408,69986709,MXTU71998315230492,Sanchez PLC,Fayetteville,AR,72703,10,1,2021,12,4,2015,28,12,2020,2,1,2021
Property,137.55,11000,Washington,DC,20011,Y,36,75,Y,5,H,Own,HI,Masters,A,Total Loss,Ambulance,0,1,GA,Savannah,19,AGENT01184,VNDR00092,James Ayers,2008-11-10,Nashville,TN,37206,53733638,MTDS80945137889409,Knapp-Thornton,Moore,OK,73160,10,1,2021,2,11,2013,30,12,2020,4,1,2021
Travel,54.13,5000,Panama City,FL,32404,Y,28,64,Y,5,L,Mortgage,MI,Bachelor,D,Minor Loss,Other,1,1,GA,Savannah,8,AGENT01105,VNDR00578,Betty Walker,2007-01-06,Anchorage,AK,99503,84132282,NJKV77708814426610,Hoover-Murray,Arvada,CO,80004,10,1,2021,8,9,2012,28,12,2020,2,1,2021
Health,185.05,14000,Panama City,FL,32405,Y,30,114,N,2,H,Own,HI,Masters,A,Major Loss,Ambulance,1,1,FL,Panama City,17,AGENT01025,VNDR00112,Ronald Fassett,2011-08-27,Nashville,TN,37013,35605014,ZGUU45112093181543,"Sellers, Thompson and Mcdonald",Youngstown,FL,32466,10,1,2021,15,11,2019,29,12,2020,3,1,2021
Travel,55.78,4000,Oroville,CA,95966,Y,27,104,Y,3,M,Own,MI,Bachelor,A,Minor Loss,Ambulance,0,1,TN,Nashville,4,AGENT00115,VNDR00244,Joyce Adams,1992-05-29,Montgomery,AL,36108,19554644,TYWY22450802056578,Michael LLC,Washington,DC,20002,10,1,2021,1,10,2019,1,1,2021,4,1,2021
Travel,87.27,1000,Montgomery,AL,36110,Y,57,104,Y,6,M,Rent,MI,Bachelor,A,Total Loss,Police,1,1,CO,Arvada,17,AGENT00073,VNDR00284,Edgar Vazquez,2011-07-07,Anchorage,AK,99503,82636845,TKLO18911599752642,Thornton and Sons,Readsboro,VT,5350,10,1,2021,3,7,2010,8,1,2021,8,1,2021
Motor,85.52,6000,Arvada,CO,80003,Y,64,37,Y,4,M,Mortgage,HI,Bachelor,A,Major Loss,Ambulance,1,1,AZ,Glendale,21,AGENT00770,VNDR00391,James Santiago,1990-12-02,Oklahoma City,OK,73107,95424251,YVCD80951872205447,Frazier-Butler,Glendale,AZ,85301,10,1,2021,8,4,2012,25,12,2020,30,12,2020
Property,145.77,30000,McCrory,AR,72101,Y,52,90,Y,4,M,Mortgage,MI,Masters,A,Total Loss,Police,1,1,CA,Oakhurst,8,AGENT00066,VNDR00282,Danielle Visvardis,2014-09-16,Worcester,MA,1607,101490043,OJKV85329684741331,"Holmes, Bishop and Nunez",Fayetteville,AR,72704,10,1,2021,2,11,2014,22,12,2020,27,12,2020
Travel,95.86,1000,Glendale,AZ,85310,Y,28,42,Y,4,L,Own,HI,High School,D,Total Loss,Ambulance,1,0,TN,Nashville,2,AGENT01088,VNDR00374,Wesley Burger,2008-11-25,Montgomery,AL,36109,17647838,UYHG28999580464685,Young-Kelley,Anchorage,AK,99503,10,1,2021,12,9,2014,8,1,2021,8,1,2021
Property,89.26,35000,Manchester,CT,6040,Y,28,84,Y,6,L,Rent,LI,College,A,Total Loss,Police,1,0,AZ,Glendale,22,AGENT01008,VNDR00232,Jessica Huskey,2010-12-10,Livermore,CA,94551,115652330,TNVX06018153772360,"Myers, Hayes and Jones",Savannah,GA,31405,10,1,2021,13,6,2013,30,12,2020,4,1,2021
Travel,71.55,3000,Union City,CA,94587,N,35,80,Y,6,M,Mortgage,MI,Bachelor,A,Total Loss,Police,0,0,AZ,Glendale,18,AGENT01010,VNDR00548,Wilfred Jenkins,2005-02-12,Manchester,CT,6040,25016134,VMNG01845238425818,Ellis-Weiss,Manchester,CT,6042,10,1,2021,26,10,2011,28,12,2020,2,1,2021
Health,155.7,2000,Manchester,CT,6040,Y,57,94,N,2,M,Own,HI,Bachelor,A,Total Loss,Ambulance,0,0,AL,Montgomery,22,AGENT00815,VNDR00200,Inez Mackenzie,1994-10-30,Fayetteville,AR,72701,46020455,NRMG94209445993365,Meyer-Stevenson,Louisville,KY,40272,10,1,2021,19,4,2016,23,12,2020,28,12,2020
Health,149.59,14000,Glen Burnie,MD,21060,Y,38,7,Y,6,M,Own,LI,High School,A,Major Loss,Ambulance,0,1,AK,Anchorage,21,AGENT00018,VNDR00383,Rita Allaire,1990-09-30,Montgomery,AL,36117,31655398,LROE33621282470193,"Dawson, Taylor and Chavez",Norwood,MA,2062,10,1,2021,29,12,2013,31,12,2020,3,1,2021
Health,130.27,1000,Glendale,AZ,85301,Y,40,71,Y,7,L,Mortgage,LI,Bachelor,A,Total Loss,Ambulance,1,0,CT,Manchester,2,AGENT00173,VNDR00369,James Schroepfer,2007-05-29,Arvada,CO,80005,103575555,VMTW45915669251781,"Nguyen, Rogers and Diaz",Nashville,TN,37207,10,1,2021,6,9,2015,2,1,2021,5,1,2021
Life,69.49,14000,Montgomery,AL,36117,Y,29,102,Y,4,M,Mortgage,LI,High School,A,Major Loss,Police,0,1,AK,Anchorage,17,AGENT00340,VNDR00500,John Ozment,1995-05-26,Nashville,TN,37210,92955671,HEOE23703878575795,Galloway and Sons,Louisville,KY,40118,10,1,2021,3,8,2018,5,1,2021,6,1,2021
Life,65.53,86000,Arvada,CO,80003,N,45,81,Y,6,L,Rent,MI,Masters,A,Major Loss,Ambulance,1,1,OK,Ardmore,1,AGENT00290,VNDR00339,Marjorie Roberts,1990-06-25,Oklahoma City,OK,73142,115095544,DWIE17910023519002,Hickman-Mendoza,Glendale,AZ,85310,10,1,2021,14,3,2015,24,12,2020,29,12,2020
Mobile,6.32,100,Atascadero,CA,93422,Y,57,91,N,6,L,Mortgage,MI,PhD,A,Total Loss,Ambulance,1,0,CA,El Cerrito,1,AGENT00175,VNDR00387,Mario Willis,2004-12-05,Panama City,FL,32404,40309033,XQLZ50054087067496,Smith-Strickland,Moore,OK,73160,10,1,2021,16,10,2019,7,1,2021,7,1,2021
Mobile,10.49,200,Fall River,MA,2721,Y,35,104,Y,7,L,Own,MI,Bachelor,A,Total Loss,Police,1,1,FL,Tyndall Air Force Base,16,AGENT01080,VNDR00599,Kay Gallo,1999-06-07,Panama City,FL,32404,111378401,FRXZ26362755674674,Reeves-Leonard,Litchfield Park,AZ,85340,10,1,2021,23,4,2019,23,12,2020,28,12,2020
Motor,78.71,2000,Savannah,GA,31419,Y,50,88,N,3,L,Own,MI,Bachelor,A,Minor Loss,Ambulance,1,0,KY,Louisville,15,AGENT00889,VNDR00283,John Martin,2015-11-06,Fayetteville,AR,72703,83057148,UGBX39578532587710,"Sosa, Pugh and Hughes",Fayetteville,AR,72701,10,1,2021,27,10,2016,2,1,2021,5,1,2021
Health,113.34,14000,Montgomery,AL,36111,Y,33,50,N,5,L,Rent,MI,Bachelor,A,Major Loss,Ambulance,1,1,GA,Savannah,21,AGENT00822,VNDR00283,Frederick Patterson,2001-03-17,Annapolis,MD,21403,13230304,RUWY51620735679755,"Sosa, Pugh and Hughes",Fayetteville,AR,72701,10,1,2021,3,8,2016,31,12,2020,3,1,2021
Property,143.64,21000,Lawrence,MA,1843,N,30,73,Y,7,M,Own,MI,Bachelor,A,Minor Loss,Police,1,1,AR,Fayetteville,5,AGENT01061,VNDR00004,Alma Hamblin,1991-08-05,Oklahoma City,OK,73103,104880126,BOBK32919513096302,Mays-Benson,Savannah,GA,31406,10,1,2021,18,10,2010,22,12,2020,27,12,2020
Travel,83.15,5000,Norton,MA,2766,Y,30,102,Y,5,L,Own,LI,High School,A,Major Loss,Police,1,1,MA,Brookline,17,AGENT01028,VNDR00425,Andrea Castilla,2013-03-17,Montgomery,AL,36109,25411072,YJXS04901758045402,Nguyen-Hess,Nashville,TN,37221,10,1,2021,2,3,2018,3,1,2021,5,1,2021
Life,98.21,94000,Nashville,TN,37218,Y,36,28,Y,4,M,Mortgage,LI,College,A,Minor Loss,Ambulance,1,0,MA,Hardwick,18,AGENT00521,VNDR00295,Sarah Gabriel,2001-11-05,Melrose,MA,2176,36313156,DCGV47349877384233,Cox-Ward,Savannah,GA,31405,10,1,2021,25,7,2013,30,12,2020,4,1,2021
Motor,123.84,4000,Glendale,AZ,85303,N,28,32,Y,5,L,Rent,MI,Bachelor,A,Minor Loss,Ambulance,1,1,GA,Port Wentworth,10,AGENT00204,VNDR00079,Gary Carter,1991-06-04,Anchorage,AK,99504,106470495,WNEH49335676371770,Lopez-Wilson,Edmond,OK,73003,10,1,2021,7,9,2012,25,12,2020,30,12,2020
Motor,79.39,9000,Montgomery,AL,36106,N,37,115,Y,2,M,Own,MI,High School,A,Total Loss,Other,1,1,MD,Pasadena,23,AGENT00994,VNDR00344,Geraldine Lopez,2001-04-30,Arvada,CO,80004,118471806,YLMV72211135178869,Lewis Ltd,Montgomery,AL,36104,10,1,2021,2,3,2019,26,12,2020,31,12,2020
Travel,65.8,4000,Panama City,FL,32408,Y,60,59,Y,4,H,Mortgage,MI,Bachelor,A,Total Loss,Ambulance,1,0,MD,Deale,5,AGENT00707,VNDR00359,Nancy Tseng,2004-07-26,Wheat Ridge,CO,80033,41688449,LMUY79282718378411,Perez PLC,Manchester,CT,6040,10,1,2021,26,4,2018,3,1,2021,5,1,2021
Health,188.81,13000,Savannah,GA,31404,Y,31,68,Y,3,M,Rent,HI,Bachelor,A,Minor Loss,Ambulance,1,0,KY,Louisville,8,AGENT00657,VNDR00260,David Agnew,1992-02-27,Crofton,MD,21114,107662817,LLNH57077072069884,"Freeman, Branch and Mueller",Washington,DC,20016,10,1,2021,17,2,2014,9,1,2021,9,1,2021
Travel,77.92,5000,Arnold,MD,21012,N,54,45,Y,5,L,Mortgage,MI,High School,A,Minor Loss,Ambulance,1,1,KY,Louisville,10,AGENT00737,VNDR00560,Joan Schuldt,2007-11-21,Louisville,KY,40118,75934884,XVHU89858926305688,Brown Group,Arvada,CO,80002,10,1,2021,29,11,2012,9,1,2021,9,1,2021
Life,83.22,29000,Northfield,KY,40222,Y,40,15,Y,2,L,Mortgage,MI,MD,A,Minor Loss,Ambulance,1,1,MA,Saugus,13,AGENT00639,VNDR00222,Shelby Richards,1995-03-01,Manchester,CT,6040,124190333,YFFY90307447508970,Webb-Henderson,Fayetteville,AR,72701,10,1,2021,11,1,2016,6,1,2021,7,1,2021
Mobile,10.07,600,Lynn Haven,FL,32444,N,38,87,Y,6,M,Mortgage,MI,High School,A,Minor Loss,Ambulance,1,1,VT,Morristown,13,AGENT00879,VNDR00200,Raymundo Pelchat,2010-08-20,Livermore,CA,94550,123681348,HLCL83413501366269,Meyer-Stevenson,Louisville,KY,40272,10,1,2021,2,10,2012,31,12,2020,3,1,2021
Health,156.51,9000,Oklahoma City,OK,73108,Y,45,99,Y,6,L,Own,LI,High School,A,Minor Loss,Police,1,1,CT,Manchester,1,AGENT00444,VNDR00417,Cinthia Carpenter,2010-05-11,Livermore,CA,94550,68418430,BHCI57845702102300,Wong-Meza,Panama City Beach,FL,32407,11,1,2021,2,11,2018,31,12,2020,5,1,2021
Life,64.47,85000,Fayetteville,AR,72701,Y,25,61,Y,7,L,Own,MI,High School,A,Major Loss,Ambulance,0,0,CA,Oakland,18,AGENT01188,VNDR00166,Kenneth Bullard,2009-05-15,Arvada,CO,80007,45452985,YEAW55756362400588,Nelson-Russell,Montgomery,AL,36105,11,1,2021,8,7,2017,8,1,2021,8,1,2021
Health,182.86,4000,Glendale,AZ,85301,Y,44,37,Y,2,M,Own,HI,College,A,Major Loss,Police,1,1,AZ,Glendale,9,AGENT00529,VNDR00495,David Fitzpatrick,1990-09-02,Savannah,GA,31401,52526312,JVMQ34552697602225,Rosario-Smith,Anchorage,AK,99503,11,1,2021,20,2,2016,24,12,2020,29,12,2020
Motor,81.79,7000,Louisville,KY,40229,Y,51,70,Y,7,H,Own,MI,High School,A,Major Loss,Police,0,1,MD,Annapolis,1,AGENT00419,VNDR00479,Brian Harris,2002-06-18,Louisville,KY,40207,45222319,BGTH83925172672329,White-Mcintosh,Oklahoma City,OK,73170,11,1,2021,3,1,2015,22,12,2020,27,12,2020
Mobile,10.45,600,Washington,DC,20018,Y,37,9,Y,2,L,Mortgage,HI,Bachelor,A,Total Loss,Other,1,1,AZ,Glendale,8,AGENT00886,VNDR00152,Larry Miller,2004-10-20,Panama City Beach,FL,32408,35997418,FTOT36944483714748,Morris-Howe,Louisville,KY,40118,11,1,2021,15,6,2012,5,1,2021,7,1,2021
Mobile,7.04,600,Newark,CA,94560,Y,55,84,Y,4,L,Own,MI,College,A,Total Loss,Ambulance,1,1,GA,Thunderbolt,19,AGENT00904,VNDR00020,Pamela Moncivais,2015-10-02,Fayetteville,AR,72703,118125770,NHQM40505653330039,"Hamilton, Alexander and Wilkins",Paso Robles,CA,93446,11,1,2021,5,6,2015,29,12,2020,3,1,2021
Mobile,6.01,200,Edmond,OK,73034,Y,31,73,Y,4,M,Rent,MI,Masters,A,Major Loss,Other,1,0,MD,West River,7,AGENT00865,VNDR00039,Elena Perez,2017-04-08,Anchorage,AK,99518,49686281,KSFL91784748172798,Thomas and Sons,Beverly Hills,FL,34465,11,1,2021,29,11,2013,24,12,2020,29,12,2020
Mobile,6.82,700,Nashville,TN,37206,Y,37,80,Y,3,M,Own,LI,Bachelor,A,Major Loss,Ambulance,1,1,MD,Crofton,16,AGENT00566,VNDR00028,Paul Ragland,2014-02-05,Litchfield Park,AZ,85340,119693502,DFQL30132049053767,"Hawkins, Hernandez and Carter",Fremont,CA,94536,11,1,2021,27,6,2017,4,1,2021,6,1,2021
Property,115.71,23000,Anchorage,AK,99517,N,61,30,Y,5,M,Rent,MI,High School,A,Major Loss,Ambulance,1,1,AL,Montgomery,21,AGENT00955,VNDR00266,Bryan Dondero,2011-11-22,Anchorage,VT,5033,129325404,XFVS57996633902953,Avila-Baker,Manchester,CT,6040,11,1,2021,23,5,2016,28,12,2020,2,1,2021
Travel,84.17,1000,Davidsonville,MD,21035,Y,54,16,Y,3,H,Mortgage,MI,Bachelor,A,Total Loss,Ambulance,1,1,AL,Montgomery,16,AGENT00553,VNDR00353,Jerry Clark,1999-11-26,Essex,VT,5452,94444481,RZTK26920955460540,"Compton, Khan and Cabrera",Worcester,MA,1604,11,1,2021,30,7,2014,28,12,2020,2,1,2021
Property,112.95,20000,Panama City Beach,FL,32413,Y,29,22,Y,7,L,Mortgage,MI,College,A,Major Loss,Ambulance,0,1,AZ,Glendale,15,AGENT00651,VNDR00478,Ernestine Baxter,2012-02-08,Washington,DC,20002,46576857,ROMK21749388007277,"Graham, Barrett and Cooper",Hartford,VT,5001,11,1,2021,25,4,2016,23,12,2020,28,12,2020
Mobile,6.16,400,Glendale,AZ,85303,Y,32,119,Y,3,H,Own,MI,Bachelor,A,Total Loss,Ambulance,0,1,AR,Fayetteville,1,AGENT01106,VNDR00546,Isaac Willard,1999-10-01,Panama City Beach,FL,32408,69986709,MXTU71998315230492,Peterson-Mayo,Midwest City,OK,73110,11,1,2021,5,10,2014,26,12,2020,31,12,2020
Health,165.84,17000,Washington,DC,20020,Y,29,87,Y,4,L,Rent,MI,High School,A,Total Loss,Ambulance,0,1,OK,The Village,18,AGENT00669,VNDR00161,Clayton Veit,1997-02-11,Mammoth Lakes,CA,93546,105681188,OXBN46370701796955,Vasquez-Payne,Montgomery,AL,36105,11,1,2021,13,2,2016,1,1,2021,4,1,2021
Motor,123.35,2000,Savannah,GA,31406,Y,36,67,Y,7,L,Own,MI,Bachelor,A,Major Loss,Police,1,1,KY,Louisville,8,AGENT00950,VNDR00240,Leigh Stogsdill,1992-06-21,Berkeley,CA,94704,109895815,PZWL02024439546066,"Mcdonald, Beasley and Knox",Montgomery,AL,36117,11,1,2021,15,9,2012,6,1,2021,7,1,2021
Life,67.23,15000,Dennis,MA,2638,Y,38,107,Y,6,H,Own,LI,College,A,Major Loss,Police,1,0,OK,Oklahoma City,5,AGENT00565,VNDR00374,Jonathan Onusko,1997-04-09,Annapolis,MD,21403,116879811,IEPT05177412022149,Young-Kelley,Anchorage,AK,99503,11,1,2021,3,10,2018,25,12,2020,30,12,2020
Mobile,8.62,700,Nashville,TN,37221,Y,27,67,Y,2,L,Rent,MI,Bachelor,A,Major Loss,Police,1,0,AL,Montgomery,16,AGENT01034,VNDR00353,Charles Caddel,2001-04-03,Oklahoma City,OK,73162,124603778,WBDJ31356898450596,"Compton, Khan and Cabrera",Worcester,MA,1604,11,1,2021,3,1,2011,26,12,2020,31,12,2020
Property,102.15,19000,Montgomery,AL,36109,Y,34,55,Y,6,M,Own,MI,High School,A,Minor Loss,Ambulance,1,0,CO,Pueblo,18,AGENT00204,VNDR00470,Gary Carter,1991-06-04,Anchorage,AK,99504,106470495,WNEH49335676371770,Jackson-Nguyen,Louisville,KY,40210,11,1,2021,28,12,2017,3,1,2021,6,1,2021
Motor,82.89,2000,Ludlow,VT,5149,Y,55,107,Y,2,M,Mortgage,HI,Bachelor,A,Major Loss,Ambulance,0,0,CA,Roseville,1,AGENT01142,VNDR00134,Frank Kuss,2006-06-02,Nashville,TN,37013,84286086,MJMZ05224189300735,Miller Ltd,Anchorage,AK,99507,11,1,2021,3,11,2010,8,1,2021,8,1,2021
Property,104.98,18000,Stowe,VT,5672,Y,48,10,Y,7,L,Rent,LI,Masters,A,Total Loss,Ambulance,0,1,MA,Springfield,0,AGENT00478,VNDR00031,Sharon Kilgore,1997-11-14,Moore,OK,73160,42493060,HIPJ29573864716097,Johnson Ltd,Fayetteville,AR,72703,11,1,2021,28,7,2019,2,1,2021,5,1,2021
Mobile,9.24,500,Fremont,CA,94536,Y,44,76,Y,6,M,Own,HI,Masters,A,Minor Loss,Ambulance,1,1,TN,Nashville,12,AGENT00545,VNDR00183,Bruce Weeden,2013-02-08,Pooler,GA,31322,55506944,IXBO09746976340386,"Johnson, Espinoza and Kelley",Louisville,KY,40291,11,1,2021,19,11,2018,24,12,2020,29,12,2020
Property,107.26,10000,Glen Burnie,MD,21060,Y,29,92,N,5,H,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,0,OK,Oklahoma City,6,AGENT00186,VNDR00084,Clifford Price,2009-03-10,Montgomery,AL,36109,104970146,AIVI67955605321178,Smith-Schwartz,Washington,DC,20006,11,1,2021,7,8,2018,1,1,2021,4,1,2021
Travel,85.57,3000,Bakersfield,CA,93304,Y,48,118,Y,2,H,Rent,MI,High School,A,Total Loss,Ambulance,1,1,AK,Anchorage,8,AGENT00305,VNDR00037,Randall Gutierrez,1997-08-15,Montgomery,AL,36116,95140072,RHGZ58145713328181,Schmitt-Johnson,Anchorage,AK,99503,11,1,2021,27,4,2012,6,1,2021,7,1,2021
Health,154.47,13000,Arvada,CO,80003,Y,33,52,Y,4,M,Own,LI,Bachelor,A,Major Loss,Ambulance,1,1,CA,Hayward,6,AGENT00510,VNDR00056,Katherine Williams,2008-11-14,Louisville,KY,40209,94546473,LGJF22122370861596,"Russell, Mills and Calderon",Annapolis,MD,21402,11,1,2021,9,2,2013,28,12,2020,2,1,2021
Travel,73.81,1000,Oklahoma City,OK,73170,Y,44,22,Y,2,L,Own,HI,College,A,Major Loss,Ambulance,0,1,MA,Cambridge,22,AGENT01182,VNDR00494,Micah Tucker,2008-10-02,Pleasanton,CA,94588,75949031,LYFY39514467763614,Riley PLC,Odenton,MD,21113,11,1,2021,26,1,2016,8,1,2021,8,1,2021
Health,107.57,16000,Escondido,CA,92027,Y,42,17,Y,5,H,Own,MI,Bachelor,A,Total Loss,Ambulance,0,1,AZ,Glendale,22,AGENT00048,VNDR00119,Olivia Cramer,2008-03-27,Manchester,CT,6040,128661059,WMWV30338113870706,"Miller, Patel and Anderson",Anchorage,AK,99501,11,1,2021,26,6,2019,4,1,2021,6,1,2021
Travel,50.91,1000,Hanover,MD,21076,Y,49,76,Y,4,L,Rent,MI,High School,A,Minor Loss,Ambulance,1,1,CT,Manchester,21,AGENT00352,VNDR00359,Twila Martin,2010-05-13,Aurora,CO,80011,108294637,APNJ58942128579435,Perez PLC,Manchester,CT,6040,11,1,2021,31,10,2015,3,1,2021,6,1,2021
Health,179.65,18000,Louisville,KY,40299,Y,53,102,Y,6,L,Mortgage,MI,Masters,A,Minor Loss,Ambulance,1,1,AK,Anchorage,9,AGENT00786,VNDR00290,Victor Perrin,1993-02-11,Louisville,KY,40272,115241097,WREH18805592939657,Pierce Group,Arvada,CO,80005,11,1,2021,7,9,2019,26,12,2020,31,12,2020
Motor,128.29,4000,Montgomery,AL,36117,N,49,82,Y,4,L,Mortgage,MI,College,A,Major Loss,Other,1,1,FL,Panama City,10,AGENT00591,VNDR00429,Jill Noble,2001-12-16,Crownsville,MD,21032,85168310,KDJO86436904919476,Mora-Rivas,Mammoth Lakes,CA,93546,11,1,2021,26,2,2019,31,12,2020,5,1,2021
Travel,72.77,1000,Pittsfield,MA,1201,Y,33,105,Y,3,L,Mortgage,HI,High School,A,Total Loss,Ambulance,1,1,AZ,Glendale,3,AGENT01033,VNDR00538,Dana Solomon,1992-09-03,Glendale,AZ,85308,73992459,OULV38940562491804,Johnson LLC,Glendale,AZ,85308,11,1,2021,21,3,2014,28,12,2020,2,1,2021
